pid,AUC,AUC_old,fitbit_steps_intraday_rapids_stdsteps,fitbit_heartrate_intraday_rapids_modehr,phone_locations_doryab_avgspeed,phone_screen_rapids_sumdurationunlock,fitbit_heartrate_intraday_rapids_stdhr,fitbit_steps_intraday_rapids_minsteps,phone_wifi_visible_rapids_countscansmostuniquedevice,phone_screen_rapids_countepisodeunlock,fitbit_steps_intraday_rapids_mindurationactivebout,phone_locations_doryab_numberofsignificantplaces,phone_wifi_visible_rapids_uniquedevices,phone_locations_doryab_maxlengthstayatclusters,fitbit_steps_intraday_rapids_sumsteps,fitbit_heartrate_intraday_rapids_avghr,phone_screen_rapids_firstuseafter00unlock,phone_locations_doryab_homelabel,phone_battery_rapids_countdischarge,phone_battery_rapids_sumdurationdischarge,phone_battery_rapids_sumdurationcharge,phone_locations_doryab_loglocationvariance,phone_locations_doryab_totaldistance,phone_screen_rapids_mindurationunlock,fitbit_heartrate_intraday_rapids_minutesonfatburnzone,phone_locations_doryab_locationvariance,phone_battery_rapids_maxconsumptionrate,fitbit_heartrate_intraday_rapids_minhr,fitbit_steps_intraday_rapids_avgdurationactivebout,fitbit_steps_intraday_rapids_maxdurationactivebout,phone_locations_doryab_radiusgyration,phone_locations_doryab_locationentropy,fitbit_heartrate_intraday_rapids_entropyhr,fitbit_heartrate_intraday_rapids_maxhr,phone_locations_doryab_movingtostaticratio,phone_locations_doryab_avglengthstayatclusters,phone_screen_rapids_maxdurationunlock,phone_locations_doryab_timeattop3location,phone_locations_doryab_minlengthstayatclusters,phone_wifi_visible_rapids_countscans,fitbit_steps_intraday_rapids_countepisodesedentarybout,fitbit_steps_intraday_rapids_stddurationsedentarybout,fitbit_heartrate_intraday_rapids_minutesoncardiozone,fitbit_heartrate_intraday_rapids_medianhr,fitbit_heartrate_intraday_rapids_diffminmodehr,fitbit_heartrate_intraday_rapids_minutesonoutofrangezone,fitbit_heartrate_intraday_rapids_diffmaxmodehr,phone_battery_rapids_countcharge,fitbit_steps_intraday_rapids_maxsteps,fitbit_steps_intraday_rapids_avgsteps,phone_locations_doryab_timeattop1location,phone_locations_doryab_timeattop2location,phone_screen_rapids_avgdurationunlock,phone_locations_doryab_stdlengthstayatclusters,phone_locations_doryab_numberlocationtransitions,fitbit_steps_intraday_rapids_countepisodeactivebout,fitbit_heartrate_intraday_rapids_minutesonpeakzone,phone_battery_rapids_avgconsumptionrate,fitbit_steps_intraday_rapids_maxdurationsedentarybout,fitbit_steps_intraday_rapids_sumdurationactivebout,phone_locations_doryab_normalizedlocationentropy,fitbit_steps_intraday_rapids_sumdurationsedentarybout,fitbit_steps_intraday_rapids_mindurationsedentarybout,fitbit_steps_intraday_rapids_avgdurationsedentarybout,Precision,F1,Recall
p205,0.767296605,0.786354901,-0.104640059,-1.048887849,0,-0.075700223,-0.036694739,4.29E-05,-0.955489159,0.000191775,-0.072306924,-0.001052863,-0.009192832,-0.059404634,-0.147225723,-0.077931546,-0.113079794,-8.14E-05,-0.002075307,-0.693318844,-0.001018277,-0.000592713,0,-0.049404327,0.000714233,-0.009159407,-0.131165639,-0.384107411,-0.011433231,-0.000739722,0,-6.96E-06,-0.015438872,-0.132359028,-0.000120104,7.62E-05,-0.019801179,0,-0.000147711,-0.060089085,9.59E-05,-0.079296798,0,-0.024248539,-0.390188456,-0.149738759,0.028948968,8.53E-06,-0.532755315,0,-0.632464886,1.92E-05,-0.000128857,1.58E-05,6.65E-06,-0.012392391,0,0,-0.089071661,-0.018284161,0,-0.009338982,-0.264972001,-0.022955742,0.307692308,0.296296296,0.285714286
p241,0.695991962,0.679245283,-0.240970269,-0.209404513,-0.090630382,-0.040422957,-0.569069088,0,-0.77729243,-0.017919287,-0.043832667,0,-0.024103159,-0.088768683,-0.250781298,-0.174969748,-0.893894911,0,-0.003119724,-0.103928819,-0.00069867,-0.012863065,-0.006921053,-0.023483425,-0.000456532,-0.000432797,-0.029852234,-0.150427982,-0.164051756,-0.003149129,-0.022623518,-0.000361328,-0.225904465,-0.063583769,-0.001375582,4.35E-05,-0.007661315,-0.604629338,-0.010370372,-0.053276643,-0.030575179,-0.074373186,0,-0.093464769,-0.321021408,0.002389434,-0.272347778,0,-0.108476788,0,-0.410474896,0,-0.010781063,-0.027218992,0,-0.131826356,0,0,-0.309392303,-0.069244929,-0.040897705,-0.019201823,0.000805438,-0.013536618,0.2,0.111111111,0.076923077
p255,0.585680388,0.63091922,-0.168684617,-0.500939608,-0.019545337,-0.033932216,-0.162977457,0,-0.004974209,0.010143723,-0.008274423,-0.001382258,-0.114967532,0.014989264,-0.142336622,-0.316773683,-0.097366832,-0.00074682,-0.003068265,-0.010562588,-0.184404537,-0.031420328,-0.005600108,-0.007132513,-0.017597795,-0.01286169,-0.02199016,-0.301724613,-0.02779921,-0.003719172,8.31E-07,1.76E-05,-0.37635538,-0.171463698,-0.002759643,-0.000586003,-0.047361668,-0.031466767,-0.000676611,-0.022432305,-0.006859468,-0.093935944,0,-0.149426609,-0.068476804,-0.135983184,-0.118019521,-1.41E-05,-0.328080267,0,-0.032602608,-0.14041467,0.003902037,-7.34E-06,-1.77E-05,-0.007901529,0,0,-0.07139954,-0.012700224,0,-0.012395744,-0.040491141,-0.02924571,0.346153846,0.225,0.166666667
p256,0.7326401,0.745830135,-0.320869803,-0.093806081,-0.062562123,-0.23639752,-0.23626934,8.91E-05,-0.655089498,-0.029022418,-0.019409519,-7.95E-05,-1.60E-06,-0.539750457,-0.203080624,-0.35574621,-0.488709629,0,-0.002919692,-0.176356256,-0.242586821,-0.344281882,-0.079327583,-0.239425167,-0.040937036,-0.005361719,-0.142459825,-0.022200035,-0.183672786,-0.029751156,-0.004588412,-0.000897181,-0.266365767,-0.052259061,-0.176364183,-0.027367638,-0.070917547,-0.030902347,-0.099279106,-0.000325745,-0.012498286,-0.102325439,0,-0.046274848,-0.11862237,-0.007999692,-0.148862779,0,-0.105570517,0,-0.277365565,-0.121449262,-0.058532048,-0.000366288,0,-0.020949161,0,-0.019790947,-0.1336876,-0.009330873,-0.000904365,-0.014561615,-0.006625473,-0.007716479,0.333333333,0.228571429,0.173913043
p260,0.66460018,0.63081761,-0.271375805,-0.248628259,-0.06272044,-0.096209683,-0.828828096,-0.05928516,-0.031981848,-0.014948766,-0.000759929,0.000189923,-0.003889293,-0.149273798,-0.110338591,-0.418699265,-0.35228911,0,-0.002478567,-0.025342433,-1.02E-06,-0.003400123,-0.006319944,-0.006136398,0.000353402,-0.002753124,-0.152513698,-0.321037889,4.47E-05,-0.000310216,-0.001578189,-0.025207231,-0.462274969,-0.353827387,-0.375212818,-0.001558376,-0.000662369,0,-0.000767905,-0.155909419,-0.054423701,0.045057252,-0.005216139,-0.013619429,-0.388309568,-0.151038975,-0.168221071,0,-0.128752396,0,-0.152043536,-0.027304219,-0.002014223,-0.000672147,-9.26E-06,-8.40E-05,0,0,-0.105213434,-0.017387107,-0.000140647,-0.205781505,-0.0193385,-0.046749026,0.384615385,0.294117647,0.238095238
p269,0.765921245,0.822152001,-0.0993407,-0.220362306,-0.00365725,-0.0377861,-0.17504783,-6.81E-05,-0.013358971,-0.043984801,-0.017114794,-0.003113065,-0.000612588,-0.028831549,-0.255934179,-0.265388459,-1.049930811,-0.002824024,-0.000959312,-0.002814591,0.00016783,-0.001858518,6.11E-05,-0.055480823,0.000630732,1.70E-05,0.002336888,-0.566874623,-0.012016898,-0.029503526,-6.31E-05,0,-0.39406091,-0.224884808,-0.0116636,-0.000704018,-0.010824766,-0.336346209,0,0.004718865,-0.112319127,-0.069318749,0,-0.014449455,-0.160321698,-0.078911714,-0.222176284,0,-0.145711541,0,-0.158735752,-0.125347376,-0.025199249,0,-0.000227843,-0.022238243,0,0,-0.062007163,-0.033930808,0,-0.091092817,-0.045859218,-0.029107274,0.4,0.338983051,0.294117647
p272,0.850563607,0.895330113,-0.156767488,-0.282124937,0,-0.905444324,-0.362980008,0.000174401,2.06E-05,0,-0.027003368,0.000182536,-0.529142559,-0.065394327,-0.066412106,-0.160834968,0,-0.000205,0,0,0,0,0,0,-0.010231495,0.001882688,0,-1.566010594,-0.005332637,-0.011173648,0,0,-0.128693983,-0.023489192,2.48E-05,0,0,0.001459691,0,0,-0.008740917,-0.138080791,0,-0.582009971,-0.02068753,0,-0.057982635,0,-0.010576854,0,-0.527293384,-0.17272608,0,0,0,0.000112244,0,0,-0.069031782,-0.036232263,0,-0.017349606,-0.036529586,-0.017556081,0.4,0.285714286,0.222222222
p274,0.705587498,0.715612561,-0.05905262,-0.137223244,-0.027691497,-0.431778908,-0.07869029,-0.004293161,-0.134712383,-0.018030023,-0.042773917,-0.027617177,-0.048094153,-0.870286703,-0.055605486,-0.066319026,-0.133890435,-0.147218898,-0.005678025,0.007239324,0,-0.011438321,-0.010729607,-0.199617445,-0.368875682,-0.017122213,-0.500719309,-0.184103563,-0.003437419,0.000107443,0,0,-0.097708657,-0.10049849,-0.023067538,0,-0.010044197,0,0,-0.436818451,-0.009747739,-0.011125862,0,-0.034764383,-0.168670043,-0.421244979,-0.051058169,0,-0.034564,-0.010631304,-0.349346995,-0.05449868,-0.072906092,0,0,-0.000626823,0,0,-0.193269417,-0.007732859,0,-0.016518969,-0.138196379,-0.066802263,0.083333333,0.068965517,0.058823529
p276,0.760648148,0.70462963,0,0.002174117,-0.00063738,-0.73179692,-0.007042205,0,-0.067561924,-0.014101813,-3.93E-05,0,-0.343040526,-0.000435871,-0.000181566,-0.185835555,-1.477373123,0,-0.00058069,-0.1690761,-0.837369144,-0.000872706,-0.026728896,0.026169844,-0.000101323,0,-0.190838024,-0.000525227,0,0,0,0,-0.025109159,-0.000161882,0,0,-1.007214546,0,0,-0.304929465,0,-0.000323224,0,-0.005929054,-0.519919157,-0.166367471,-0.067886084,0,0,0,-0.16322282,0,-0.007259704,0,0,0,0,0,0,-4.80E-05,0,0,-2.48E-05,0,0,0,0
p281,0.705637505,0.678180225,-0.145382419,-0.151342511,-0.015629767,-0.194447026,-0.087392591,-2.02E-05,-0.248241737,-0.036334947,-0.010742126,0.000656729,-0.042318437,-0.379601657,-0.214210227,-0.087476045,-0.321200192,-0.00012153,-0.051506598,-0.146025524,-0.016984222,-0.02839932,0.00053966,-0.086561278,-0.016957307,-0.001535748,-0.135829806,-0.04996581,-0.021057969,-0.044767339,-5.66E-06,-0.001878934,-0.154460162,-0.035933141,-0.001873842,-0.001413912,-0.114780091,-0.01285365,-0.001034974,-0.053504363,-0.012411076,-0.070667237,6.35E-05,-0.221852168,-0.15062958,-0.034261275,-0.220093071,-3.28E-05,-0.118485831,0,-0.137566015,-0.020678276,-0.06155397,-0.000150002,-3.08E-05,-0.019335758,0,-0.009675788,-0.16409409,-0.085501097,0,-0.026731096,-0.042048182,-0.058276419,0.15,0.098360656,0.073170732
